Rk,G,Date,Age,Tm,HomeOrAway,Opp,Result,PointDiff,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
70,64,2023-03-17,20-235,HOU,Home,NOP,W,2,1,36:24:00,8,17,0.471,1,1,1,0,0,,2,9,11,1,2,0,2,5,17,11.1,+2
71,65,2023-03-19,20-237,HOU,Home,NOP,L,-10,1,31:08:00,3,8,0.375,0,2,0,3,4,0.75,4,3,7,6,1,1,0,6,9,11.4,-2
72,,2023-03-20,20-238,HOU,Home,GSW,L,-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
73,66,2023-03-22,20-240,HOU,Away,MEM,L,-5,1,32:03:00,11,15,0.733,0,2,0,3,6,0.5,4,4,8,4,2,0,3,6,25,21.1,+5
74,67,2023-03-24,20-242,HOU,Away,MEM,L,-37,1,25:18:00,3,6,0.5,0,1,0,1,3,0.333,1,4,5,2,1,0,2,3,7,4.3,-18
75,68,2023-03-26,20-244,HOU,Away,CLE,L,-17,1,33:00:00,6,12,0.5,0,0,,2,4,0.5,2,6,8,4,0,1,3,4,14,9.3,-12
76,69,2023-03-27,20-245,HOU,Away,NYK,L,-22,1,28:23:00,5,9,0.556,1,1,1,0,1,0,1,4,5,1,0,1,5,2,11,3.8,-24
77,70,2023-03-29,20-247,HOU,Away,BRK,L,-9,1,33:19:00,10,16,0.625,0,0,,1,3,0.333,8,4,12,2,1,1,2,3,21,19.7,-15
78,71,2023-03-31,20-249,HOU,Home,DET,W,6,1,34:54:00,5,7,0.714,0,0,,5,6,0.833,3,10,13,7,0,0,4,5,15,15.7,+13
79,72,2023-04-02,20-251,HOU,Home,LAL,L,-25,1,38:24:00,9,17,0.529,0,1,0,0,2,0,5,10,15,5,2,3,2,3,18,19.8,-5
80,73,2023-04-04,20-253,HOU,Home,DEN,W,21,1,37:31:00,7,14,0.5,2,4,0.5,4,5,0.8,4,6,10,7,3,1,3,4,20,21.2,+15
81,74,2023-04-07,20-256,HOU,Away,CHO,W,3,1,31:33:00,4,9,0.444,1,1,1,5,6,0.833,5,16,21,3,2,1,4,4,14,16.4,+5
82,75,2023-04-09,20-258,HOU,Away,WAS,W,5,1,23:32:00,4,9,0.444,0,0,,4,5,0.8,3,9,12,6,2,2,4,3,12,14.1,-4
